ASPECT	CODE	MEASUREMENT_SCALE	DESCRIPTION	ASPECT_KEYWORDS	POSITIVE_SENTIMENT_KEYWORDS	NEGATIVE_SENTIMENT_KEYWORDS	NEUTRAL_SENTIMENT_KEYWORDS
FACILITY	FAC_ROOM	Room, Bed & Sleep Quality	Physical condition, cleanliness, spaciousness, furniture comfort, bed quality, and sleeping experience within guest rooms	room, suite, bedroom, villa, accommodation, bed, mattress, pillow, blanket, duvet, bedding, balcony, workspace, desk, chair, sleep, sleeping, window	clean, spotless, spacious, roomy, cozy, comfortable, restful, relaxing, soft, modern, airy, tidy, quiet, elegant, bright	dirty, cramped, tiny, noisy, uncomfortable, hard, stiff, smelly, dusty, old, outdated, dark, messy, itchy, shabby	standard, average, acceptable, decent, basic, normal, okay
FACILITY	FAC_BATH	Bathroom & Sanitary Area	Bathroom facilities, hygiene, maintenance, and usability	bathroom, toilet, shower, bathtub, sink, restroom, washroom, faucet, towel	clean, hygienic, spacious, modern, luxurious, fresh	dirty, clogged, leaking, broken, smelly, small, outdated	usable, standard, basic, average
FACILITY	FAC_INTERIOR	Interior Design & Ambience	Interior decoration, furniture aesthetics, lighting, and atmosphere of indoor spaces	interior, decor, furniture, design, style, ambiance, lighting, atmosphere, aesthetic, theme	stylish, elegant, luxurious, modern, beautiful, cozy, impressive	outdated, ugly, old-fashioned, dark, dull, unattractive	simple, ordinary, minimal, standard
FACILITY	FAC_BUILDING	Building Infrastructure	Structural condition and infrastructure quality of the hotel property	building, elevator, hallway, corridor, infrastructure, property, lobby, entrance	modern, renovated, maintained, impressive, solid	broken, outdated, poorly maintained, damaged, old	functional, standard, normal
FACILITY	FAC_ENV	Noise & Environmental Comfort	Environmental comfort including noise level and surrounding atmosphere	quiet, peaceful, noisy, soundproof, calm, environment, neighborhood, surroundings	peaceful, quiet, relaxing, calm, tranquil	noisy, loud, disturbing, crowded, chaotic	manageable, moderate, average
FACILITY	FAC_CLIMATE	Air Conditioning & Ventilation	Airflow, temperature control, and ventilation quality	aircon, AC, ventilation, airflow, temperature, fan, cooling	cool, refreshing, strong, comfortable, pleasant	hot, weak, broken, stuffy, humid	stable, acceptable, normal
FACILITY	FAC_SECURITY	Physical Security Infrastructure	Physical security systems and infrastructure inside the hotel	CCTV, lock, keycard, guard, surveillance, gate, security, alarm	secure, protected, safe, reliable	unsafe, unsecured, risky, dangerous	standard, sufficient, acceptable
FACILITY	FAC_VIEW_LOCATION	View, Surroundings & Location	Scenic view, surrounding environment, accessibility, and location convenience	view, scenery, sea view, mountain view, city view, landscape, downtown, central, nearby, location, accessibility, neighborhood, beachfront, riverside	beautiful, scenic, convenient, central, accessible, amazing, stunning	blocked, remote, inconvenient, isolated, far, inaccessible	average, typical, okay, decent
AMENITY	AM_WIFI	Wifi & Connectivity	Internet accessibility and connection quality	wifi, internet, connection, network, signal	fast, stable, reliable, smooth	slow, weak, unstable, disconnected	usable, average, okay
AMENITY	AM_FOOD	Food & Beverage	Food, drinks, restaurant, buffet, and dining quality	breakfast, buffet, restaurant, cafe, menu, dining, meal, drink, beverage, coffee, bar, cuisine	delicious, tasty, flavorful, fresh, varied, excellent, satisfying, amazing	bland, cold, repetitive, salty, terrible, disappointing, awful	okay, average, acceptable, decent
AMENITY	AM_POOL	Pool & Water Facilities	Swimming pool and water-related facilities	pool, swimming pool, jacuzzi, water park, hot tub	relaxing, enjoyable, clean, spacious, refreshing	crowded, dirty, outdated, broken	decent, sufficient, standard
AMENITY	AM_WELLNESS	Gym, Spa & Wellness Facilities	Wellness and fitness-related facilities and services	gym, spa, sauna, fitness center, yoga, massage	relaxing, modern, enjoyable, professional	crowded, outdated, limited, expensive	standard, adequate, acceptable
